Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,676195238274,title,pt-PT,,,Home page,Página inicial
COLLECTION,676195664258,title,pt-PT,,,Gummies,Gomas
COLLECTION,676199072130,title,pt-PT,,,SHOTS,TIROS
COLLECTION,676199596418,title,pt-PT,,,ACTYVA,ACTYVA
COLLECTION,676394795394,title,pt-PT,,,RESHAPE,RESHAPE
COLLECTION,676726079874,title,pt-PT,,,Bundle & Save,Agrupe e poupe
COLLECTION,680660566402,title,pt-PT,,,All Products,Todos os produtos
ONLINE_STORE_THEME,182378103170,section.collection.json.banner.featured_product_heading:1eofj6j2ulp0f,pt-PT,,,Featured product,Produto em destaque
LINK,743518732674,title,pt-PT,,,For Business,Para empresas
LINK,743659340162,title,pt-PT,,,Home,Início
LINK,743659405698,title,pt-PT,,,About,Sobre
LINK,743659504002,title,pt-PT,,,Encomendas,Encomendas
LINK,743673823618,title,pt-PT,,,Shop,Loja
LINK,743673856386,title,pt-PT,,,For Business,Para empresas
LINK,743673889154,title,pt-PT,,,Our Science,A nossa ciência
LINK,743673921922,title,pt-PT,,,About,Sobre
LINK,747894440322,title,pt-PT,,,Our Science,A nossa ciência
LINK,754732728706,title,pt-PT,,,Shop all,Compre tudo
LINK,754732761474,title,pt-PT,,,ACTYVA,ACTYVA
LINK,754732794242,title,pt-PT,,,RHYTHM Bundle + ACTYVA,Bundle RHYTHM + ACTYVA
LINK,754732827010,title,pt-PT,,,RHYTHM Bundle,Bundle RHYTHM
LINK,754732859778,title,pt-PT,,,RESHAPE Bundle + ACTYVA,Bundle RESHAPE + ACTYVA
LINK,754732892546,title,pt-PT,,,RESHAPE Bundle,Bundle RESHAPE
LINK,756447871362,title,pt-PT,,,Your Privacy Choices,As suas opções de privacidade
LINK,756474577282,title,pt-PT,,,Actyva,Actyva
LINK,756474610050,title,pt-PT,,,Bundles,Bundles
LINK,756474642818,title,pt-PT,,,Shots,Tiros
LINK,756474708354,title,pt-PT,,,Gummies,Gomas
LINK,756475920770,title,pt-PT,,,All Products,Todos os produtos
LINK,762850509186,title,pt-PT,,,Partnership Program,Programa de parceria
LINK,769250591106,title,pt-PT,,,Profile,Perfil
LINK,773292949890,title,pt-PT,,,Discover Your Protocol,Descubra o seu protocolo
MENU,299033264514,title,pt-PT,,,Menu principal,Menu principal
MENU,299033297282,title,pt-PT,,,Menu do rodapé,Menu do rodapé
MENU,299033330050,title,pt-PT,,,Menu principal da conta de cliente,Menu principal da conta de cliente
MENU,303595815298,title,pt-PT,,,Shop,Loja
MENU,304299377026,title,pt-PT,,,Shop,Loja
PAGE,693650063746,title,pt-PT,,,Our Science,A nossa ciência
PAGE,693650063746,body_html,pt-PT,,,<p>Our Science</p>,<p>A nossa ciência</p>
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.slideshow_XgJqXd.video_kLJjbB.subheading:2o1eooz5xxpfz,pt-PT,,,VIDEO,VÍDEO
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.slideshow_XgJqXd.video_kLJjbB.title:1n76bt8gwvuf7,pt-PT,,,Welcome to the Heart of Innovation.,Bem-vindo ao Coração da Inovação.
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.slideshow_XgJqXd.image_ae8HKt.title:1acr65msw4dp5,pt-PT,,,From Clinical Insight to Product Innovation.,Da visão clínica à inovação do produto.
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.slideshow_XgJqXd.image_ncqPzC.subheading:209btmfkzi4mj,pt-PT,,,The Next Frontier is Our Starting Point,A próxima fronteira é o nosso ponto de partida
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.slideshow_XgJqXd.image_ncqPzC.title:3753ybwcv4zxj,pt-PT,,,Beyond Convention. Beyond Expectation.,Além da convenção. Além das expectativas.
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_rGwwFc.heading_zR7cXb.text:37udm3kds92so,pt-PT,,,From Clinical Insight to Product Innovation,Da visão clínica à inovação do produto
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_rGwwFc.richtext_EMbzeV.content:2ya1596rreuu4,pt-PT,,,"<p><br/>Our science is built on the convergence of biophysics and cellular biology, underpinned by two decades of pioneering research and applied technological innovation. This unique foundation allows us to move beyond treating symptoms and instead focus on restoring the body's fundamental coherence - optimizing the intricate communication between its electrical and biochemical systems.<br/><br/></p>","<p><br/>A nossa ciência baseia-se na convergência da biofísica e da biologia celular, sustentada por duas décadas de investigação pioneira e inovação tecnológica aplicada. Esta base única permite-nos ir além do tratamento dos sintomas e, em vez disso, concentrar-nos em restaurar a coerência fundamental do corpo - otimizando a comunicação complexa entre os seus sistemas elétricos e bioquímicos.<br/><br/></p>"
