Type,Identification,Field,Locale,Market,Status,Default content,Translated content
BRANDING,1818001794,slogan,pt-PT,,,A New Era Of Supplements,Uma nova era de suplementos
SHOP,92924084610,meta_title,pt-PT,,,CellPowerX,CellPowerX
SHOP,92924084610,meta_description,pt-PT,,,Intelligent Wellness. Integrated Power.,Bem-estar inteligente. Potência integrada.
COLLECTION,676195238274,title,pt-PT,,,Home page,Página inicial
COLLECTION,676195238274,handle,pt-PT,,,frontpage,página inicial
COLLECTION,676195664258,title,pt-PT,,,Gummies,Gomas
COLLECTION,676195664258,handle,pt-PT,,,gummies,gomas
COLLECTION,676199072130,title,pt-PT,,,SHOTS,TIROS
COLLECTION,676199072130,handle,pt-PT,,,shots,fotos
COLLECTION,676199596418,title,pt-PT,,,ACTYVA,ACTYVA
COLLECTION,676199596418,handle,pt-PT,,,actyva,actyva
COLLECTION,676394795394,title,pt-PT,,,RESHAPE,RESHAPE
COLLECTION,676394795394,handle,pt-PT,,,reshape,remodelar
COLLECTION,676726079874,title,pt-PT,,,Bundle & Save,Agrupe e poupe
COLLECTION,676726079874,handle,pt-PT,,,bundles,feixes
COLLECTION,680660566402,title,pt-PT,,,All Products,Todos os produtos
COLLECTION,680660566402,handle,pt-PT,,,all-products,todos os produtos
ONLINE_STORE_THEME,182378103170,section.collection.json.banner.featured_product_heading:1eofj6j2ulp0f,pt-PT,,,Featured product,Produto em destaque
COOKIE_BANNER,6073057666,policy_link_text,pt-PT,,,Privacy Policy,Política de privacidade
COOKIE_BANNER,6073057666,title,pt-PT,,,Cookie consent,Consentimento de cookies
COOKIE_BANNER,6073057666,text,pt-PT,,,"We and our partners, including Shopify, use cookies and other technologies to personalize your experience, show you ads, and perform analytics, and we will not use cookies or other technologies for these purposes unless you accept them. Learn more in our","Nós e os nossos parceiros, incluindo a Shopify, utilizamos cookies e outras tecnologias para personalizar a sua experiência, mostrar-lhe anúncios e efetuar análises, e não utilizaremos cookies ou outras tecnologias para estes fins, a menos que os aceite. Saiba mais em nosso"
COOKIE_BANNER,6073057666,button_prefs_open_text,pt-PT,,,Manage preferences,Gerir preferências
COOKIE_BANNER,6073057666,button_accept_text,pt-PT,,,Accept,Aceitar
COOKIE_BANNER,6073057666,button_decline_text,pt-PT,,,Decline,Declínio
COOKIE_BANNER,6073057666,preferences_title,pt-PT,,,Cookie and privacy preferences,Preferências de cookies e privacidade
COOKIE_BANNER,6073057666,preferences_intro_title,pt-PT,,,You control your data,Você controla os seus dados
COOKIE_BANNER,6073057666,preferences_intro_text,pt-PT,,,"Learn more about the cookies we use, and choose which cookies to allow.",Saiba mais sobre os cookies que utilizamos e escolha os cookies que pretende permitir.
COOKIE_BANNER,6073057666,preferences_button_accept_text,pt-PT,,,Accept all,Aceite tudo
COOKIE_BANNER,6073057666,preferences_button_decline_text,pt-PT,,,Decline all,Recusar tudo
COOKIE_BANNER,6073057666,preferences_button_save_text,pt-PT,,,Save my choices,Guarde as minhas escolhas
COOKIE_BANNER,6073057666,preferences_bullet_points_title,pt-PT,,,If you accept all cookies,Se aceitar todos os cookies
COOKIE_BANNER,6073057666,preferences_bullet_points_first_text,pt-PT,,,Our site may be improved based on your interests,O nosso sítio pode ser melhorado com base nos seus interesses
COOKIE_BANNER,6073057666,preferences_bullet_points_second_text,pt-PT,,,Your preferences may be stored for when you return,As suas preferências podem ser guardadas para quando regressar
COOKIE_BANNER,6073057666,preferences_bullet_points_third_text,pt-PT,,,You may see advertising that's tailored to you,Poderá ver publicidade adaptada a si
COOKIE_BANNER,6073057666,preferences_purposes_essential_name,pt-PT,,,Required,Necessário
COOKIE_BANNER,6073057666,preferences_purposes_essential_desc,pt-PT,,,"These cookies are necessary for the site to function properly, including capabilities like logging in and adding items to the cart.","Estes cookies são necessários para que o sítio funcione corretamente, incluindo capacidades como iniciar sessão e adicionar itens ao carrinho."
COOKIE_BANNER,6073057666,preferences_purposes_performance_name,pt-PT,,,Analytics,Análises
COOKIE_BANNER,6073057666,preferences_purposes_performance_desc,pt-PT,,,These cookies help us understand how you interact with the site. We use this data to identify areas to improve.,Estes cookies ajudam-nos a compreender a forma como interage com o sítio. Utilizamos estes dados para identificar áreas a melhorar.
COOKIE_BANNER,6073057666,preferences_purposes_preferences_name,pt-PT,,,Personalization,Personalização
COOKIE_BANNER,6073057666,preferences_purposes_preferences_desc,pt-PT,,,These cookies store details about your actions to personalize your next visit to the website.,Estes cookies armazenam detalhes sobre as suas acções para personalizar a sua próxima visita ao sítio Web.
COOKIE_BANNER,6073057666,preferences_purposes_marketing_name,pt-PT,,,Marketing,Marketing
COOKIE_BANNER,6073057666,preferences_purposes_marketing_desc,pt-PT,,,"These cookies are used by us and our partners, including Shopify, to optimize marketing communications and show you ads on other websites.","Estes cookies são utilizados por nós e pelos nossos parceiros, incluindo a Shopify, para otimizar as comunicações de marketing e mostrar-lhe anúncios noutros websites."
FILTER,110175191426,label,pt-PT,,,Availability,Disponibilidade
FILTER,110175224194,label,pt-PT,,,Price,Preço
BLOG,118105571714,title,pt-PT,,,News,Notícias
BLOG,118105571714,handle,pt-PT,,,news,notícias
SELLING_PLAN,710754795906,name,pt-PT,,,Monthly Subscription,Assinatura mensal
SELLING_PLAN,710754795906,option1,pt-PT,,,1MONTH1MONTHMIN_CYCLES=3MAX_CYCLES=NULLtrue-10.0-PERCENTAGEnullMonthly Subscription,"1MÊS1MÊSMIN_CICLOS=3MAX_CICLOS=NULLverdadeiro-10,0-PERCENTAGEnullAssinatura mensal"
SELLING_PLAN_GROUP,98062336386,name,pt-PT,,,Subscribe & Save,Inscreva-se e economize
SELLING_PLAN_GROUP,98062336386,option1,pt-PT,,,Delivery every,Entrega a cada
